position_id,x,y,z,hour,utci,mrt,air_temp,wind_speed,relative_humidity,comfort_category,datetime
position_0,-5069.535,-1048.031,1.5,13,37.4,56.632342828824015,34.4,5.1,41,hot,2017-08-15 13:00:00
position_1,-5069.535,-1038.031,1.5,13,37.5,56.7874969066732,34.4,5.1,41,hot,2017-08-15 13:00:00
position_2,-5069.535,-1028.031,1.5,13,37.4,56.47718875097484,34.4,5.1,41,hot,2017-08-15 13:00:00
position_3,-5069.535,-1018.031,1.5,13,37.4,56.322034673125664,34.4,5.1,41,hot,2017-08-15 13:00:00
position_4,-5069.535,-1008.031,1.5,13,37.3,56.166880595276496,34.4,5.1,41,hot,2017-08-15 13:00:00
position_5,-5069.535,-998.031,1.5,13,36.8,53.687193721444004,34.4,5.1,41,hot,2017-08-15 13:00:00
position_6,-5069.535,-988.031,1.5,13,35.3,46.44930468945154,34.4,5.1,41,hot,2017-08-15 13:00:00
position_7,-5069.535,-978.031,1.5,13,35.7,48.58793557096625,34.4,5.1,41,hot,2017-08-15 13:00:00
position_8,-5069.535,-968.031,1.5,13,36.5,52.13636986473833,34.4,5.1,41,hot,2017-08-15 13:00:00
position_9,-5069.535,-958.031,1.5,13,36.7,53.23507930413724,34.4,5.1,41,hot,2017-08-15 13:00:00
position_10,-5069.535,-948.031,1.5,13,36.1,50.2846118205033,34.4,5.1,41,hot,2017-08-15 13:00:00
position_11,-5069.535,-938.031,1.5,13,36.9,54.094451316698255,34.4,5.1,41,hot,2017-08-15 13:00:00
position_12,-5069.535,-928.031,1.5,13,36.7,53.40750703556675,34.4,5.1,41,hot,2017-08-15 13:00:00
position_13,-5069.535,-918.031,1.5,13,36.7,53.11076083548348,34.4,5.1,41,hot,2017-08-15 13:00:00
position_14,-5069.535,-908.031,1.5,13,36.0,49.99568921445941,34.4,5.1,41,hot,2017-08-15 13:00:00
position_15,-5069.535,-898.031,1.5,13,35.2,46.28042030683319,34.4,5.1,41,hot,2017-08-15 13:00:00
position_16,-5069.535,-888.031,1.5,13,34.8,44.391121767323455,34.4,5.1,41,hot,2017-08-15 13:00:00
position_17,-5069.535,-878.031,1.5,13,35.8,49.05937341061755,34.4,5.1,41,hot,2017-08-15 13:00:00
position_18,-5069.535,-868.031,1.5,13,36.2,50.77540093011339,34.4,5.1,41,hot,2017-08-15 13:00:00
position_19,-5069.535,-858.031,1.5,13,35.1,45.855812289285,34.4,5.1,41,hot,2017-08-15 13:00:00
position_20,-5069.535,-848.031,1.5,13,35.9,49.706182572084025,34.4,5.1,41,hot,2017-08-15 13:00:00
position_21,-5069.535,-838.031,1.5,13,36.5,52.44924451786719,34.4,5.1,41,hot,2017-08-15 13:00:00
position_22,-5069.535,-828.031,1.5,13,37.0,54.77049389463387,34.4,5.1,41,hot,2017-08-15 13:00:00
position_23,-5069.535,-818.031,1.5,13,36.9,54.30503166108634,34.4,5.1,41,hot,2017-08-15 13:00:00
position_24,-5069.535,-808.031,1.5,13,36.9,54.32537459450898,34.4,5.1,41,hot,2017-08-15 13:00:00
position_25,-5069.535,-798.031,1.5,13,37.0,54.466798367588986,34.4,5.1,41,hot,2017-08-15 13:00:00
position_26,-5069.535,-788.031,1.5,13,36.9,54.11529929758313,34.4,5.1,41,hot,2017-08-15 13:00:00
position_27,-5069.535,-778.031,1.5,13,36.6,52.630744305515385,34.4,5.1,41,hot,2017-08-15 13:00:00
position_28,-5069.535,-768.031,1.5,13,35.3,46.597677789493176,34.4,5.1,41,hot,2017-08-15 13:00:00
position_29,-5069.535,-758.031,1.5,13,35.3,46.7460508895348,34.4,5.1,41,hot,2017-08-15 13:00:00
position_30,-5069.535,-748.031,1.5,13,35.3,46.7460508895348,34.4,5.1,41,hot,2017-08-15 13:00:00
position_31,-5069.535,-738.031,1.5,13,36.6,52.60917940284441,34.4,5.1,41,hot,2017-08-15 13:00:00
position_32,-5069.535,-728.031,1.5,13,37.0,54.60839048982308,34.4,5.1,41,hot,2017-08-15 13:00:00
position_33,-5069.535,-718.031,1.5,13,37.0,54.46001738978144,34.4,5.1,41,hot,2017-08-15 13:00:00
position_34,-5069.535,-708.031,1.5,13,36.4,51.683584315865694,34.4,5.1,41,hot,2017-08-15 13:00:00
position_35,-5069.535,-698.031,1.5,13,35.3,46.7460508895348,34.4,5.1,41,hot,2017-08-15 13:00:00
